type,barrier,tet,,barrier,1.2,1.22,1.24,1.26,1.28,1.3,1.32,1.34,1.36,1.38,1.4,1.42,1.44,1.46,1.48
Li-I-c-.25-v-1.40,0.1697,-0.1697,,,,,,,,,,,,,,,,,
Li-I-c-.25-v-1.42,0.2208,-0.2208,,,,,,,,,,,,,,,,,
Li-I-c-.25-v-1.44,0.2671,-0.2671,,,,,,,,,,,,,,,,,
Li-I-c-.25-v-1.46,0.3088,-0.3088,,,,,,,,,,,,,,,,,
Li-I-c-.25-v-1.48,0.3464,-0.3464,,,,,,,,,,,,,,,,,
Li-I-c-.30-v-1.20,1.2446,0.7003,,,,,,,,,,,,,,,,,
Li-I-c-.30-v-1.22,1.0601,0.5703,,,,,,,,,,,,,,,,,
Li-I-c-.30-v-1.24,0.892,0.4519,,,,,,,,,,,,,,,,,
Li-I-c-.30-v-1.26,0.7378,0.3438,,,,,,,,,,,,,,,,,
Li-I-c-.30-v-1.28,0.5973,0.2454,,,,,,,,,,,,,,,,,
Li-I-c-.30-v-1.30,0.4691,0.1557,,,,,,,,,,,,,,,,,
Li-I-c-.30-v-1.32,0.3521,0.074,,,,,,,,,,,,,,,,,
Li-I-c-.30-v-1.34,0.2814,-0.0004,,,,,,,,,,,,,,,,,
Li-I-c-.30-v-1.36,0.2159,-0.0681,,,,,,,,,,,,,,,,,
Li-I-c-.30-v-1.38,0.1885,-0.1298,,,,,,,,,,,,,,,,,
Li-I-c-.30-v-1.40,0.1859,-0.1859,,,,,,,,,,,,,,,,,
Li-I-c-.30-v-1.42,0.2367,-0.2367,,,,,,,,,,,,,,,,,
Li-I-c-.30-v-1.44,0.2827,-0.2827,,,,,,,,,,,,,,,,,
Li-I-c-.30-v-1.46,0.3243,-0.3243,,,,,,,,,,,,,,,,,
Li-I-c-.30-v-1.48,0.3618,-0.3618,,,,,,,,,,,,,,,,,
Li-I-c-.35-v-1.20,1.2299,0.6814,,,,,,,,,,,,,,,,,
Li-I-c-.35-v-1.22,1.0456,0.552,,,,,,,,,,,,,,,,,
Li-I-c-.35-v-1.24,0.8774,0.4339,,,,,,,,,,,,,,,,,
Li-I-c-.35-v-1.26,0.7236,0.3263,,,,,,,,,,,,,,,,,
Li-I-c-.35-v-1.28,0.5959,0.2281,,,,,,,,,,,,,,,,,
Li-I-c-.35-v-1.30,0.4551,0.1386,,,,,,,,,,,,,,,,,
Li-I-c-.35-v-1.32,0.3382,0.0572,,,,,,,,,,,,,,,,,
Li-I-c-.35-v-1.34,0.2622,-0.0171,,,,,,,,,,,,,,,,,
Li-I-c-.35-v-1.36,0.2185,-0.0845,,,,,,,,,,,,,,,,,
Li-I-c-.35-v-1.38,0.1926,-0.1459,,,,,,,,,,,,,,,,,
Li-I-c-.35-v-1.40,0.2017,-0.2017,,,,,,,,,,,,,,,,,
Li-I-c-.35-v-1.42,0.2524,-0.2524,,,,,,,,,,,,,,,,,
Li-I-c-.35-v-1.44,0.2982,-0.2982,,,,,,,,,,,,,,,,,
Li-I-c-.35-v-1.46,0.3397,-0.3397,,,,,,,,,,,,,,,,,
Li-I-c-.35-v-1.48,0.3771,-0.3771,,,,,,,,,,,,,,,,,
Li-I-c-.40-v-1.20,1.2167,0.6644,,,,,,,,,,,,,,,,,
Li-I-c-.40-v-1.22,1.0326,0.5353,,,,,,,,,,,,,,,,,
Li-I-c-.40-v-1.24,0.8644,0.4175,,,,,,,,,,,,,,,,,
Li-I-c-.40-v-1.26,0.7107,0.31,,,,,,,,,,,,,,,,,
Li-I-c-.40-v-1.28,0.5705,0.212,,,,,,,,,,,,,,,,,
Li-I-c-.40-v-1.30,0.4422,0.1226,,,,,,,,,,,,,,,,,
Li-I-c-.40-v-1.32,0.3253,0.0413,,,,,,,,,,,,,,,,,
Li-I-c-.40-v-1.34,0.2513,-0.0328,,,,,,,,,,,,,,,,,
Li-I-c-.40-v-1.36,0.2211,-0.1001,,,,,,,,,,,,,,,,,
Li-I-c-.40-v-1.38,0.1988,-0.1614,,,,,,,,,,,,,,,,,
Li-I-c-.40-v-1.40,0.2172,-0.2172,,,,,,,,,,,,,,,,,
Li-I-c-.40-v-1.42,0.2677,-0.2677,,,,,,,,,,,,,,,,,
Li-I-c-.40-v-1.44,0.3134,-0.3134,,,,,,,,,,,,,,,,,
Li-I-c-.40-v-1.46,0.3548,-0.3548,,,,,,,,,,,,,,,,,
Li-I-c-.40-v-1.48,0.3922,-0.3922,,,,,,,,,,,,,,,,,
Li-I-c-.45-v-1.20,1.2042,0.6485,,,,,,,,,,,,,,,,,
Li-I-c-.45-v-1.22,1.0204,0.5197,,,,,,,,,,,,,,,,,
Li-I-c-.45-v-1.24,0.8525,0.4021,,,,,,,,,,,,,,,,,
Li-I-c-.45-v-1.26,0.6989,0.2949,,,,,,,,,,,,,,,,,
Li-I-c-.45-v-1.28,0.5586,0.1969,,,,,,,,,,,,,,,,,
Li-I-c-.45-v-1.30,0.4304,0.1077,,,,,,,,,,,,,,,,,
Li-I-c-.45-v-1.32,0.3133,0.0264,,,,,,,,,,,,,,,,,
Li-I-c-.45-v-1.34,0.2539,-0.0476,,,,,,,,,,,,,,,,,
Li-I-c-.45-v-1.36,0.2236,-0.115,,,,,,,,,,,,,,,,,
Li-I-c-.45-v-1.38,0.2048,-0.1763,,,,,,,,,,,,,,,,,
Li-I-c-.45-v-1.40,0.2321,-0.2321,,,,,,,,,,,,,,,,,
Li-I-c-.45-v-1.42,0.2825,-0.2825,,,,,,,,,,,,,,,,,
Li-I-c-.45-v-1.44,0.3284,-0.3284,,,,,,,,,,,,,,,,,
Li-I-c-.45-v-1.46,0.3697,-0.3697,,,,,,,,,,,,,,,,,
Li-I-c-.45-v-1.48,0.4071,-0.4071,,,,,,,,,,,,,,,,,
Li-I-c-.50-v-1.20,1.1923,0.633,,,,,,,,,,,,,,,,,
Li-I-c-.50-v-1.22,1.0088,0.5046,,,,,,,,,,,,,,,,,
Li-I-c-.50-v-1.24,0.841,0.3874,,,,,,,,,,,,,,,,,
Li-I-c-.50-v-1.26,0.6877,0.2805,,,,,,,,,,,,,,,,,
Li-I-c-.50-v-1.28,0.5473,0.1828,,,,,,,,,,,,,,,,,
Li-I-c-.50-v-1.30,0.4191,0.0938,,,,,,,,,,,,,,,,,
Li-I-c-.50-v-1.32,0.3018,0.0125,,,,,,,,,,,,,,,,,
Li-I-c-.50-v-1.34,0.2563,-0.0616,,,,,,,,,,,,,,,,,
Li-I-c-.50-v-1.36,0.2259,-0.1291,,,,,,,,,,,,,,,,,
Li-I-c-.50-v-1.38,0.2112,-0.1906,,,,,,,,,,,,,,,,,
Li-I-c-.50-v-1.40,0.2464,-0.2464,,,,,,,,,,,,,,,,,
Li-I-c-.50-v-1.42,0.3152,-0.297,,,,,,,,,,,,,,,,,
Li-I-c-.50-v-1.44,0.3428,-0.3428,,,,,,,,,,,,,,,,,
Li-I-c-.50-v-1.46,0.3842,-0.3842,,,,,,,,,,,,,,,,,
Li-I-c-.50-v-1.48,0.4214,-0.4214,,,,,,,,,,,,,,,,,
Li-I-c-.55-v-1.20,1.1827,0.6201,,,,,,,,,,,,,,,,,
Li-I-c-.55-v-1.22,0.9987,0.4919,,,,,,,,,,,,,,,,,
Li-I-c-.55-v-1.24,0.8305,0.3747,,,,,,,,,,,,,,,,,
Li-I-c-.55-v-1.26,0.6766,0.2678,,,,,,,,,,,,,,,,,
Li-I-c-.55-v-1.28,0.5359,0.1699,,,,,,,,,,,,,,,,,
Li-I-c-.55-v-1.30,0.4075,0.0806,,,,,,,,,,,,,,,,,
Li-I-c-.55-v-1.32,0.2909,-0.0008,,,,,,,,,,,,,,,,,
Li-I-c-.55-v-1.34,0.2581,-0.0752,,,,,,,,,,,,,,,,,
Li-I-c-.55-v-1.36,0.2306,-0.1428,,,,,,,,,,,,,,,,,
Li-I-c-.55-v-1.38,0.2163,-0.2043,,,,,,,,,,,,,,,,,
Li-I-c-.55-v-1.40,0.2602,-0.2602,,,,,,,,,,,,,,,,,
Li-I-c-.55-v-1.42,0.3108,-0.3108,,,,,,,,,,,,,,,,,
Li-I-c-.55-v-1.44,0.3566,-0.3566,,,,,,,,,,,,,,,,,
Li-I-c-.55-v-1.46,0.3978,-0.3978,,,,,,,,,,,,,,,,,
Li-I-c-.55-v-1.48,0.4351,-0.4351,,,,,,,,,,,,,,,,,
Li-I-c-.60-v-1.20,1.1633,0.6045,,,,,,,,,,,,,,,,,
Li-I-c-.60-v-1.22,0.9805,0.4761,,,,,,,,,,,,,,,,,
Li-I-c-.60-v-1.24,0.8136,0.3589,,,,,,,,,,,,,,,,,
Li-I-c-.60-v-1.26,0.6609,0.252,,,,,,,,,,,,,,,,,
Li-I-c-.60-v-1.28,0.5261,0.1544,,,,,,,,,,,,,,,,,
Li-I-c-.60-v-1.30,0.3941,0.0654,,,,,,,,,,,,,,,,,
