type  barrier  tet
Li-S-c-1.6-v-1.08  0.8164  0.2395
Li-S-c-1.6-v-1.10  0.6411  0.1188
Li-S-c-1.6-v-1.12  0.4807  0.0092
Li-S-c-1.6-v-1.14  0.4334  -0.0903
Li-S-c-1.6-v-1.16  0.4108  -0.1812
Li-S-c-1.6-v-1.18  0.3881  -0.2626
Li-S-c-1.6-v-1.20  0.36839999999999995  -0.3364
Li-S-c-1.6-v-1.22  0.4024  -0.4024
Li-S-c-1.6-v-1.24  0.462  -0.462
Li-S-c-1.6-v-1.26  0.5155  -0.5155
Li-S-c-1.6-v-1.28  0.5634  -0.5634
Li-S-c-1.6-v-1.30  0.6077  -0.6077
Li-S-c-1.6-v-1.32  0.6457  -0.6457
Li-S-c-1.6-v-1.34  0.6804  -0.6804
Li-S-c-1.7-v-1.08  0.796  0.2085
Li-S-c-1.7-v-1.10  0.6417  0.0899
Li-S-c-1.7-v-1.12  0.4813  -0.0175
Li-S-c-1.7-v-1.14  0.44999999999999996  -0.1151
Li-S-c-1.7-v-1.16  0.4266  -0.2041
Li-S-c-1.7-v-1.18  0.35450000000000004  -0.2837
Li-S-c-1.7-v-1.20  0.36960000000000004  -0.3556
Li-S-c-1.7-v-1.22  0.4203  -0.4203
Li-S-c-1.7-v-1.24  0.4785  -0.4785
Li-S-c-1.7-v-1.26  0.5307  -0.5307
Li-S-c-1.7-v-1.28  0.5777  -0.5777
Li-S-c-1.7-v-1.30  0.6214  -0.6214
Li-S-c-1.7-v-1.32  0.6585  -0.6585
Li-S-c-1.7-v-1.34  0.6918  -0.6918
Li-S-c-1.8-v-1.08  0.8041  0.2102
Li-S-c-1.8-v-1.10  0.6389  0.0926
Li-S-c-1.8-v-1.12  0.4875  -0.014
Li-S-c-1.8-v-1.14  0.4575  -0.1111
Li-S-c-1.8-v-1.16  0.43420000000000003  -0.2
Li-S-c-1.8-v-1.18  0.37  -0.2801
Li-S-c-1.8-v-1.20  0.39149999999999996  -0.3515
Li-S-c-1.8-v-1.22  0.416  -0.416
Li-S-c-1.8-v-1.24  0.4739  -0.4739
Li-S-c-1.8-v-1.26  0.5259  -0.5259
Li-S-c-1.8-v-1.28  0.5725  -0.5725
Li-S-c-1.8-v-1.30  0.616  -0.616
Li-S-c-1.8-v-1.32  0.6528  -0.6528
Li-S-c-1.8-v-1.34  0.6861  -0.6861
