type  barrier  tet
Li-F-c-.80-v-1.08  0.5914  -0.5914
Li-F-c-.85-v-.80  1.5668  0.9246
Li-F-c-.85-v-.82  1.249  0.6887
Li-F-c-.85-v-.84  0.9749  0.487
Li-F-c-.85-v-.86  0.7392  0.3149
Li-F-c-.85-v-.88  0.5356  0.1675
Li-F-c-.85-v-.90  0.3614  0.041
Li-F-c-.85-v-.92  0.27859999999999996  -0.0681
Li-F-c-.85-v-.94  0.2569  -0.1623
Li-F-c-.85-v-.96  0.2452  -0.2441
Li-F-c-.85-v-.98  0.3149  -0.3149
Li-F-c-.85-v-1.00  0.3763  -0.3763
Li-F-c-.85-v-1.02  0.4295  -0.4295
Li-F-c-.85-v-1.04  0.4757  -0.4757
Li-F-c-.85-v-1.06  0.5159  -0.5159
Li-F-c-.85-v-1.08  0.5504  -0.5504
